Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Southeast University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,11.1,6.0,29.5,68.7,10.4,3.9,62.1,5.2,25.5,Private
Universidad de Belgrano,AR,Argentina,South America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Medium Research Activity,Mature (50-99 years old),B,9.4,17.4,89.8,1.0,6.4,28.4,47.7,6.5,25.5,Public
"Essex, University of",UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,16.2,8.0,12.3,28.1,99.7,98.3,71.8,12.8,25.4,Private
Universidad de Santiago de Chile (USACH),CL,Chile,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,41.0,58.1,8.3,4.9,7.0,2.4,46.6,4.4,25.4,Private
The National University of Science and Technology MISIS,RU,Russia,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,8.2,9.9,74.2,13.7,12.2,53.4,45.6,7.5,25.3,Private
Universidad de La Habana,CU,Cuba,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Historic (100 years old and more),A,20.3,25.5,69.4,1.6,1.9,4.5,25.6,55.6,25.3,Private
University of Alaska Fairbanks,US,United States,North America,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,,A,3.1,3.7,99.6,16.2,5.6,3.4,44.5,8.3,25.3,
University of Iowa,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,20.7,13.3,48.2,24.4,15.8,5.9,81.3,30.6,25.3,Private
Dublin City University,IE,Ireland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),A,19.1,32.4,31.3,16.4,76.4,16.2,73.5,50.3,25.2,Private
Tulane University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),B,9.5,4.2,86.7,11.4,13.7,10.9,74.9,44.1,25.2,Public
University of Cyprus (UCY),CY,Cyprus,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,9.0,3.1,5.1,71.7,87.6,27.4,84.2,57.4,25.1,Private
University of Saskatchewan,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,12.0,11.7,21.9,42.5,69.9,52.3,83.5,24.9,25.1,Private
Chang Gung University,TW,Taiwan,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),B,4.8,4.9,69.4,40.5,4.3,5.2,26.3,8.6,25.0,Public
University of Turin,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,37.5,6.5,3.3,39.8,5.2,6.6,86.5,23.0,25.0,Private
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),SA,Saudi Arabia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),A,5.8,3.7,81.8,2.0,97.6,9.2,49.6,4.5,24.9,Private
Koç University,TR,Turkey,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),B,20.4,36.3,31.2,23.4,30.3,10.6,42.6,24.0,24.9,Public
Martin-Luther-Universität Halle-Wittenberg,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,14.6,4.5,83.9,5.7,13.75,10.7,83.6,17.2,24.9,Private
UNESP,BR,Brazil,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,37.0,23.5,19.1,16.8,6.1,2.3,74.8,2.8,24.9,Private
Bond University,AU,Australia,Oceania,"Small (Fewer than 5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),B,4.4,6.3,45.8,16.4,98.3,98.9,15.3,31.1,24.8,Public
Dongguk University ,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),B,8.5,9.9,85.8,7.6,10.2,21.6,41.8,7.6,24.8,Public
Iowa State University,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,19.4,13.9,7.9,65.8,6.0,10.3,85.1,31.0,24.8,Private
Kazakh National Agrarian University KazNAU,KZ,Kazakhstan,Asia,"Medium (>=5,000 Students)",Specialist (2 or fewer faculty areas),Low Research Activity,Mature (50-99 years old),A,14.7,13.8,73.5,1.1,29.2,19.9,5.8,15.8,24.8,Private
Universiti Utara Malaysia (UUM),MY,Malaysia,Asia,"Large (>=12,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Established (25-49 years old),A,19.4,23.3,42.6,6.1,20.3,76.0,23.7,6.5,24.8,Private
Auckland University of Technology (AUT),NZ,New Zealand,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Young (10-24 years old),A,19.1,14.6,9.5,17.9,100.0,99.9,53.9,10.4,24.7,Private
University of Klagenfurt,AT,Austria,Europe,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,4.3,2.9,56.6,11.4,95.2,84.8,43.4,49.7,24.7,Private
Ajou University ,KR,South Korea,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),B,13.3,12.1,70.0,13.5,7.4,16.6,26.5,8.1,24.6,Public
Universidad Politécnica de Madrid (UPM),ES,Spain,Europe,"Extra Large (More than 30,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Mature (50-99 years old),A,30.8,50.1,17.4,10.8,3.2,27.1,77.8,44.7,24.6,Private
Aix-Marseille University,FR,France,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,36.0,3.5,9.1,28.8,20.0,21.8,98.1,9.9,24.5,Private
Ben-Gurion University of The Negev,IL,Israel,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,14.6,11.7,12.8,53.0,66.2,17.3,68.3,12.7,24.5,Private
Chiba University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,16.0,6.7,71.8,11.1,8.2,6.1,39.3,3.6,24.5,Private
Justus-Liebig-University Giessen,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,12.3,8.1,1.8,85.5,10.3,13.9,90.6,8.1,24.5,Private
The Catholic University of Korea ,KR,South Korea,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),B,4.7,2.5,98.5,9.8,2.3,6.6,13.9,4.3,24.4,Public
Universidad ORT Uruguay,UY,Uruguay,South America,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),High Research Activity,Mature (50-99 years old),B,11.7,16.3,83.2,1.2,20.5,1.9,2.2,70.0,24.4,Public
University of Granada,ES,Spain,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,42.1,7.8,6.4,21.7,3.7,17.4,95.6,4.1,24.4,Private
Brandeis University,US,United States,North America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),B,9.6,3.8,55.7,22.3,19.4,68.5,20.3,55.1,24.3,Public
Jilin University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,13.5,44.5,42.0,25.8,13.7,2.4,55.5,20.2,24.3,Private
Central South University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Young (10-24 years old),A,7.3,2.0,5.5,96.3,8.2,3.9,51.0,11.9,24.2,Private
"University of Rome ""Tor Vergata""",IT,Italy,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,31.6,12.6,6.8,34.3,9.4,29.4,75.2,14.6,24.2,Private
